START_TIME,PROBLEM_DESCRIPTION,END_TIME,ACKNOWLEDGE_MESSAGE,DURATION,HOSTNAME,Severity_Description
02-10-2023 01:58,/: Disk space is low,-,,,Zabbix-Server-Active,Information
02-10-2023 01:56,/: Disk space is low,-,,,Linux Server,Information
02-10-2023 01:56,/: Disk space is low,-,,,Linux Server,Information
02-10-2023 01:56,/: Disk space is low,-,,,Linux Server,Information
02-10-2023 01:56,/: Disk space is low,-,,,Linux Server,Information
02-10-2023 01:49,Azure: There are errors in requests to API,02-10-2023 01:50,,0d 0h 0m 58s,Azure virtual machine Ubuntu20.04,Warning
02-10-2023 01:44,Website Unavailable: Facebook,02-10-2023 11:38,,0d 9h 54m 14s,Zabbix-Server-Standby,Average
02-10-2023 01:18,Website Unavailable: Facebook,02-10-2023 01:19,,0d 0h 1m 16s,Zabbix-Server-Standby,Average
02-10-2023 00:48,Azure: There are errors in requests to API,02-10-2023 00:48,,0d 0h 0m 52s,Azure virtual machine Ubuntu20.04,Warning
02-10-2023 00:18,Azure: There are errors in requests to API,02-10-2023 00:18,,0d 0h 0m 54s,Azure virtual machine Ubuntu20.04,Warning
02-10-2023 00:16,Port 8085 is down for sometime,02-10-2023 11:39,,0d 11h 23m 1s,Zabbix-Server-Active,High
01-10-2023 23:18,Azure: There are errors in requests to API,01-10-2023 23:18,,0d 0h 0m 53s,Azure virtual machine Ubuntu20.04,Warning
01-10-2023 22:39,Combined triggers,01-10-2023 22:49,,0d 0h 10m 0s,Zabbix-Server-Active,Not Classified
01-10-2023 22:39,Combined triggers,01-10-2023 22:49,,0d 0h 10m 0s,Zabbix-Server-Active,Not Classified
01-10-2023 22:34,/: Disk space is low,01-10-2023 22:47,,0d 0h 13m 0s,Zabbix-Server-Active,Information
01-10-2023 22:34,Space Utilization > 80%,01-10-2023 22:47,,0d 0h 13m 0s,Zabbix-Server-Active,Not Classified
01-10-2023 22:34,/: Disk space is low,01-10-2023 22:47,,0d 0h 13m 0s,Zabbix-Server-Active,Information
01-10-2023 22:34,/: Disk space is low,01-10-2023 22:47,,0d 0h 13m 0s,Zabbix-Server-Active,Information
01-10-2023 22:34,/: Disk space is low,01-10-2023 22:47,,0d 0h 13m 0s,Zabbix-Server-Active,Information
01-10-2023 22:31,/: Disk space is low,01-10-2023 22:46,,0d 0h 15m 0s,Linux Server,Information
01-10-2023 22:31,/: Disk space is low,01-10-2023 22:46,,0d 0h 15m 0s,Linux Server,Information
01-10-2023 22:31,/: Disk space is low,01-10-2023 22:46,,0d 0h 15m 0s,Linux Server,Information
01-10-2023 22:31,/: Disk space is low,01-10-2023 22:46,,0d 0h 15m 0s,Linux Server,Information
01-10-2023 22:17,Azure: There are errors in requests to API,01-10-2023 22:17,,0d 0h 0m 49s,Azure virtual machine Ubuntu20.04,Warning
01-10-2023 21:18,Azure: There are errors in requests to API,01-10-2023 21:18,,0d 0h 0m 53s,Azure virtual machine Ubuntu20.04,Warning
01-10-2023 20:48,Forecast CPU Utilization High,01-10-2023 20:57,,0d 0h 9m 0s,Calculated and Aggregate items,Warning
01-10-2023 20:36,Port 42501 is down for sometime,-,,,Zabbix-Server-Active,High
01-10-2023 20:35,Zabbix proxy: More than 100 items having missing data for more than 10 minutes,02-10-2023 11:38,,0d 15h 3m 0s,Zabbixproxy,Information
01-10-2023 20:35,Zabbix server: More than 100 items having missing data for more than 10 minutes,02-10-2023 11:38,,0d 15h 3m 0s,Zabbix-Server-Active,Information
01-10-2023 20:35,Zabbix proxy: More than 100 items having missing data for more than 10 minutes,02-10-2023 11:38,,0d 15h 3m 0s,Zabbixproxy2,Information
01-10-2023 20:24,Forecast CPU Utilization High,01-10-2023 20:36,,0d 0h 12m 0s,Calculated and Aggregate items,Warning
01-10-2023 20:17,has been restarted,01-10-2023 20:25,,0d 0h 8m 11s,Zabbix-Server-Active,Information
01-10-2023 20:16,Zabbix agent is not available,01-10-2023 20:17,,0d 0h 1m 0s,Zabbix-Server-Active,Warning
01-10-2023 20:15,Zabbix proxy: has been restarted,01-10-2023 20:25,,0d 0h 10m 0s,Zabbixproxy,Not Classified
01-10-2023 20:15,has been restarted,01-10-2023 20:25,,0d 0h 9m 30s,Linux Server,Information
01-10-2023 20:15,Zabbix proxy: Utilization of http poller processes is high,01-10-2023 20:16,,0d 0h 1m 0s,Zabbixproxy,Warning
01-10-2023 20:15,Zabbix proxy: Utilization of http poller processes is high,01-10-2023 20:16,,0d 0h 1m 0s,Zabbixproxy2,Warning
01-10-2023 20:15,Zabbix server: Utilization of http poller processes is high,01-10-2023 20:16,,0d 0h 1m 0s,Zabbix-Server-Active,Warning
01-10-2023 20:15,Zabbix proxy: has been restarted,01-10-2023 20:25,,0d 0h 10m 0s,Zabbixproxy2,Not Classified
01-10-2023 20:15,High CPU utilization,01-10-2023 20:16,,0d 0h 1m 0s,Linux Server,Average
01-10-2023 02:27,Load average is too high,01-10-2023 02:29,,0d 0h 1m 49s,Zabbix-Server-Active,Warning
01-10-2023 02:27,Load average is too high,01-10-2023 02:29,,0d 0h 1m 49s,Zabbix-Server-Active,Warning
01-10-2023 02:27,Load average is too high,01-10-2023 02:29,,0d 0h 1m 49s,Zabbix-Server-Active,Warning
01-10-2023 02:27,Load average is too high,01-10-2023 02:29,,0d 0h 1m 49s,Zabbix-Server-Active,Warning
01-10-2023 02:25,Azure: There are errors in requests to API,01-10-2023 02:25,,0d 0h 0m 49s,Azure virtual machine Ubuntu20.04,Warning
01-10-2023 02:08,Azure: There are errors in requests to API,01-10-2023 02:08,,0d 0h 0m 48s,Azure virtual machine Ubuntu20.04,Warning
01-10-2023 01:52,Website Unavailable: Facebook,01-10-2023 02:02,,0d 0h 10m 0s,Zabbix-Server-Standby,Average
01-10-2023 01:51,Azure: There are errors in requests to API,01-10-2023 01:51,,0d 0h 0m 54s,Azure virtual machine Ubuntu20.04,Warning
01-10-2023 01:20,Azure: There are errors in requests to API,01-10-2023 01:20,,0d 0h 0m 49s,Azure virtual machine Ubuntu20.04,Warning
01-10-2023 00:19,Azure: There are errors in requests to API,01-10-2023 00:19,,0d 0h 0m 52s,Azure virtual machine Ubuntu20.04,Warning
01-10-2023 00:16,Port 8085 is down for sometime,01-10-2023 20:16,,0d 19h 59m 56s,Zabbix-Server-Active,High
30-09-2023 23:47,Azure: There are errors in requests to API,30-09-2023 23:49,,0d 0h 1m 58s,Azure virtual machine Ubuntu20.04,Warning
30-09-2023 22:01,Forecast CPU Utilization High,30-09-2023 22:02,,0d 0h 1m 0s,Calculated and Aggregate items,Warning
30-09-2023 20:56,Azure: There are errors in requests to API,30-09-2023 21:01,,0d 0h 4m 9s,Azure virtual machine Ubuntu20.04,Warning
30-09-2023 20:20,Website Unavailable: Facebook,01-10-2023 01:47,,0d 5h 26m 23s,Zabbix-Server-Standby,Average
30-09-2023 19:45,Azure: There are errors in requests to API,30-09-2023 19:45,,0d 0h 0m 52s,Azure virtual machine Ubuntu20.04,Warning
30-09-2023 19:21,Azure: There are errors in requests to API,30-09-2023 19:21,,0d 0h 0m 49s,Azure virtual machine Ubuntu20.04,Warning
30-09-2023 19:19,Azure: There are errors in requests to API,30-09-2023 19:19,,0d 0h 0m 52s,Azure virtual machine Ubuntu20.04,Warning
30-09-2023 14:56,Zabbix proxy: More than 100 items having missing data for more than 10 minutes,01-10-2023 20:15,,1d 5h 19m 0s,Zabbixproxy,Information
30-09-2023 14:56,Zabbix server: More than 100 items having missing data for more than 10 minutes,01-10-2023 20:15,,1d 5h 19m 0s,Zabbix-Server-Active,Information
30-09-2023 14:56,Zabbix proxy: More than 100 items having missing data for more than 10 minutes,01-10-2023 20:15,,1d 5h 19m 0s,Zabbixproxy2,Information
30-09-2023 14:56,Port 33767 is down for sometime,-,,,Zabbix-Server-Active,High
30-09-2023 14:46,Azure: There are errors in requests to API,30-09-2023 14:46,,0d 0h 0m 53s,Azure virtual machine Ubuntu20.04,Warning
30-09-2023 14:42,Azure: There are errors in requests to API,30-09-2023 14:42,,0d 0h 0m 50s,Azure virtual machine Ubuntu20.04,Warning
30-09-2023 14:40,Forecast Memory Utilization High,30-09-2023 14:43,,0d 0h 3m 0s,Calculated and Aggregate items,Warning
30-09-2023 14:37,Zabbix server: Utilization of unreachable poller processes is high,-,,,Zabbix-Server-Active,Warning
30-09-2023 14:37,Zabbix proxy: Utilization of unreachable poller processes is high,-,,,Zabbixproxy,Warning
30-09-2023 14:35,Zabbix proxy: has been restarted,30-09-2023 14:45,,0d 0h 10m 0s,Zabbixproxy,Not Classified
30-09-2023 14:35,has been restarted,30-09-2023 14:45,,0d 0h 9m 30s,Linux Server,Information
30-09-2023 14:35,has been restarted,30-09-2023 14:46,,0d 0h 10m 30s,Zabbix-Server-Active,Information
30-09-2023 14:35,Zabbix proxy: Utilization of http poller processes is high,30-09-2023 14:37,,0d 0h 2m 0s,Zabbixproxy,Warning
30-09-2023 14:35,Zabbix proxy: Utilization of http poller processes is high,30-09-2023 14:37,,0d 0h 2m 0s,Zabbixproxy2,Warning
30-09-2023 14:35,Zabbix server: Utilization of http poller processes is high,30-09-2023 14:37,,0d 0h 2m 0s,Zabbix-Server-Active,Warning
30-09-2023 14:35,Zabbix proxy: has been restarted,30-09-2023 14:45,,0d 0h 10m 0s,Zabbixproxy2,Not Classified
30-09-2023 14:35,High CPU utilization,30-09-2023 14:36,,0d 0h 1m 0s,Linux Server,Average
29-09-2023 18:17,Port 8085 is down for sometime,30-09-2023 14:36,,0d 20h 18m 18s,Zabbix-Server-Active,High
29-09-2023 17:59,Azure Microsoft SQL: There are errors in requests to API,29-09-2023 17:59,,0d 0h 0m 48s,Azure Microsoft SQL database azure-sqlserver1,Warning
29-09-2023 17:50,Azure: There are errors in requests to API,29-09-2023 17:51,,0d 0h 1m 54s,Azure virtual machine Ubuntu20.04,Warning
29-09-2023 17:41,Load average is too high,29-09-2023 17:46,,0d 0h 4m 59s,Zabbix-Server-Active,Warning
29-09-2023 17:41,Load average is too high,29-09-2023 17:46,,0d 0h 4m 59s,Zabbix-Server-Active,Warning
29-09-2023 17:41,Load average is too high,29-09-2023 17:46,,0d 0h 4m 59s,Zabbix-Server-Active,Warning
29-09-2023 17:41,Load average is too high,29-09-2023 17:46,,0d 0h 4m 59s,Zabbix-Server-Active,Warning
29-09-2023 17:20,Azure: There are errors in requests to API,29-09-2023 17:20,,0d 0h 0m 52s,Azure virtual machine Ubuntu20.04,Warning
29-09-2023 16:52,Azure: There are errors in requests to API,29-09-2023 16:54,,0d 0h 1m 58s,Azure virtual machine Ubuntu20.04,Warning
29-09-2023 16:49,Azure: There are errors in requests to API,29-09-2023 16:50,,0d 0h 1m 4s,Azure virtual machine Ubuntu20.04,Warning
29-09-2023 16:47,Azure: There are errors in requests to API,29-09-2023 16:49,,0d 0h 1m 58s,Azure virtual machine Ubuntu20.04,Warning
29-09-2023 16:18,Azure: There are errors in requests to API,29-09-2023 16:19,,0d 0h 1m 55s,Azure virtual machine Ubuntu20.04,Warning
29-09-2023 16:08,Website Unavailable: Facebook,30-09-2023 14:35,,0d 22h 26m 42s,Zabbix-Server-Standby,Average
29-09-2023 15:51,Azure: There are errors in requests to API,29-09-2023 15:51,,0d 0h 0m 52s,Azure virtual machine Ubuntu20.04,Warning
29-09-2023 15:48,Azure: There are errors in requests to API,29-09-2023 15:49,,0d 0h 0m 58s,Azure virtual machine Ubuntu20.04,Warning
29-09-2023 15:38,Azure Microsoft SQL: There are errors in requests to API,29-09-2023 15:38,,0d 0h 0m 48s,Azure Microsoft SQL database azure-sqlserver1,Warning
29-09-2023 15:35,Load average is too high,29-09-2023 15:35,,0d 0h 0m 45s,Zabbix-Server-Active,Warning
29-09-2023 15:35,Load average is too high,29-09-2023 15:35,,0d 0h 0m 45s,Zabbix-Server-Active,Warning
29-09-2023 15:35,Load average is too high,29-09-2023 15:35,,0d 0h 0m 45s,Zabbix-Server-Active,Warning
29-09-2023 15:35,Load average is too high,29-09-2023 15:35,,0d 0h 0m 45s,Zabbix-Server-Active,Warning
29-09-2023 15:22,Azure: There are errors in requests to API,29-09-2023 15:22,,0d 0h 0m 51s,Azure virtual machine Ubuntu20.04,Warning
29-09-2023 15:14,Unavailable by ICMP ping,-,,,Linux Server SNMP1,Average
29-09-2023 14:51,Azure: There are errors in requests to API,29-09-2023 14:51,,0d 0h 0m 54s,Azure virtual machine Ubuntu20.04,Warning
29-09-2023 14:19,Forecast CPU Utilization High,29-09-2023 14:22,,0d 0h 3m 0s,Calculated and Aggregate items,Warning
29-09-2023 14:13,Forecast CPU Utilization High,29-09-2023 14:16,,0d 0h 3m 0s,Calculated and Aggregate items,Warning
29-09-2023 13:49,Load average is too high,29-09-2023 13:56,,0d 0h 7m 0s,Zabbix-Server-Active,Warning
29-09-2023 13:49,Load average is too high,29-09-2023 13:56,,0d 0h 7m 0s,Zabbix-Server-Active,Warning
29-09-2023 13:49,Load average is too high,29-09-2023 13:56,,0d 0h 7m 0s,Zabbix-Server-Active,Warning
29-09-2023 13:49,Load average is too high,29-09-2023 13:56,,0d 0h 7m 0s,Zabbix-Server-Active,Warning
29-09-2023 13:46,Azure: There are errors in requests to API,29-09-2023 13:51,,0d 0h 4m 9s,Azure virtual machine Ubuntu20.04,Warning
29-09-2023 13:04,/: Disk space is low,29-09-2023 13:10,,0d 0h 6m 0s,Linux Server,Information
29-09-2023 13:04,/: Disk space is low,29-09-2023 13:10,,0d 0h 6m 0s,Linux Server,Information
29-09-2023 13:04,/: Disk space is low,29-09-2023 13:10,,0d 0h 6m 0s,Linux Server,Information
29-09-2023 13:04,/: Disk space is low,29-09-2023 13:10,,0d 0h 6m 0s,Linux Server,Information
29-09-2023 12:52,Azure: There are errors in requests to API,29-09-2023 12:56,,0d 0h 3m 11s,Azure virtual machine Ubuntu20.04,Warning
29-09-2023 12:44,Combined triggers,29-09-2023 13:19,,0d 0h 35m 0s,Zabbix-Server-Active,Not Classified
29-09-2023 12:44,Combined triggers,29-09-2023 13:19,,0d 0h 35m 0s,Zabbix-Server-Active,Not Classified
29-09-2023 12:35,/: Disk space is low,29-09-2023 13:14,,0d 0h 39m 0s,Zabbix-Server-Active,Information
29-09-2023 12:35,/: Disk space is low,29-09-2023 13:14,,0d 0h 39m 0s,Zabbix-Server-Active,Information
29-09-2023 12:35,/: Disk space is low,29-09-2023 13:14,,0d 0h 39m 0s,Zabbix-Server-Active,Information
